parent_key	child_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables	3	db/character_skill_node_links_tables/sda_tomb_kings
steve_ark_zmb_arkhan_vamp_magic_1	steve_ark_zmb_arkhan_vamp_magic_2	0	1	1	0.0	0.0	REQUIRED
steve_ark_zmb_arkhan_vamp_magic_1	steve_ark_zmb_arkhan_vamp_magic_3	0	1	1	0.0	0.0	REQUIRED
steve_ark_zmb_arkhan_vamp_magic_1	steve_ark_zmb_arkhan_vamp_magic_4	0	1	1	0.0	0.0	REQUIRED
steve_ark_zmb_arkhan_vamp_magic_1	steve_ark_zmb_arkhan_vamp_magic_5	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_2	steve_ark_zmb_arkhan_vamp_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_2	steve_ark_zmb_arkhan_vamp_magic_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_3	steve_ark_zmb_arkhan_vamp_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_3	steve_ark_zmb_arkhan_vamp_magic_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_4	steve_ark_zmb_arkhan_vamp_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_4	steve_ark_zmb_arkhan_vamp_magic_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_5	steve_ark_zmb_arkhan_vamp_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_5	steve_ark_zmb_arkhan_vamp_magic_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_6	steve_ark_zmb_arkhan_vamp_magic_8	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_zmb_arkhan_vamp_magic_7	steve_ark_zmb_arkhan_vamp_magic_8	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_1	steve_ark_tmb_liche_priest_vampire_magic_2	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_1	steve_ark_tmb_liche_priest_vampire_magic_3	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_1	steve_ark_tmb_liche_priest_vampire_magic_4	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_1	steve_ark_tmb_liche_priest_vampire_magic_5	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_2	steve_ark_tmb_liche_priest_vampire_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_3	steve_ark_tmb_liche_priest_vampire_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_4	steve_ark_tmb_liche_priest_vampire_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_5	steve_ark_tmb_liche_priest_vampire_magic_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_6	steve_ark_tmb_liche_priest_vampire_magic_7	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_6	steve_ark_tmb_liche_priest_vampire_magic_8	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_6	steve_ark_tmb_liche_priest_vampire_magic_9	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_6	steve_ark_tmb_liche_priest_vampire_magic_10	0	1	1	0.0	0.0	REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_7	steve_ark_tmb_liche_priest_vampire_magic_11	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_8	steve_ark_tmb_liche_priest_vampire_magic_11	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_9	steve_ark_tmb_liche_priest_vampire_magic_11	0	1	1	0.0	0.0	SUBSET_REQUIRED
steve_ark_tmb_liche_priest_vampire_magic_10	steve_ark_tmb_liche_priest_vampire_magic_11	0	1	1	0.0	0.0	SUBSET_REQUIRED
tomb_king_skill_node_undead_0	tomb_king_skill_node_undead_1	0	1	1	0.0	0.0	REQUIRED
tomb_king_skill_node_undead_0	tomb_king_skill_node_undead_2	0	1	1	0.0	0.0	REQUIRED
tomb_king_skill_node_undead_0	tomb_king_skill_node_undead_3	0	1	1	0.0	0.0	REQUIRED
tomb_king_skill_node_undead_0	tomb_king_skill_node_undead_4	0	1	1	0.0	0.0	REQUIRED
tomb_king_skill_node_undead_0	tomb_king_skill_node_undead_5	0	1	1	0.0	0.0	REQUIRED
tomb_king_skill_node_undead_0	tomb_king_skill_node_undead_6	0	1	1	0.0	0.0	REQUIRED
arkhan_skill_node_undead_0	arkhan_skill_node_undead_1	0	1	1	0.0	0.0	REQUIRED
arkhan_skill_node_undead_0	arkhan_skill_node_undead_2	0	1	1	0.0	0.0	REQUIRED
arkhan_skill_node_undead_0	arkhan_skill_node_undead_3	0	1	1	0.0	0.0	REQUIRED
arkhan_skill_node_undead_0	arkhan_skill_node_undead_4	0	1	1	0.0	0.0	REQUIRED
arkhan_skill_node_undead_0	arkhan_skill_node_undead_5	0	1	1	0.0	0.0	REQUIRED
arkhan_skill_node_undead_0	arkhan_skill_node_undead_6	0	1	1	0.0	0.0	REQUIRED
