parent_key	child_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/unique_tomb_king_lords							
stephen_skill_tmb_tmb_king_unique_1_grief	stephen_skill_tmb_tmb_king_unique_2_grief	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_grief	stephen_skill_tmb_tmb_king_unique_3_grief	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_grief	stephen_skill_tmb_tmb_king_unique_4_grief	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_2_grief	stephen_skill_tmb_tmb_king_unique_5_grief	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_3_grief	stephen_skill_tmb_tmb_king_unique_5_grief	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_4_grief	stephen_skill_tmb_tmb_king_unique_5_grief	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_1_terror	stephen_skill_tmb_tmb_king_unique_2_terror	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_terror	stephen_skill_tmb_tmb_king_unique_3_terror	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_terror	stephen_skill_tmb_tmb_king_unique_4_terror	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_2_terror	stephen_skill_tmb_tmb_king_unique_5_terror	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_3_terror	stephen_skill_tmb_tmb_king_unique_5_terror	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_4_terror	stephen_skill_tmb_tmb_king_unique_5_terror	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_1_madness	stephen_skill_tmb_tmb_king_unique_2_madness	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_madness	stephen_skill_tmb_tmb_king_unique_3_madness	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_madness	stephen_skill_tmb_tmb_king_unique_4_madness	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_2_madness	stephen_skill_tmb_tmb_king_unique_5_madness	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_3_madness	stephen_skill_tmb_tmb_king_unique_5_madness	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_4_madness	stephen_skill_tmb_tmb_king_unique_5_madness	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_1_sacrament	stephen_skill_tmb_tmb_king_unique_2_sacrament	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_sacrament	stephen_skill_tmb_tmb_king_unique_3_sacrament	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_1_sacrament	stephen_skill_tmb_tmb_king_unique_4_sacrament	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tmb_king_unique_2_sacrament	stephen_skill_tmb_tmb_king_unique_5_sacrament	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_3_sacrament	stephen_skill_tmb_tmb_king_unique_5_sacrament	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tmb_king_unique_4_sacrament	stephen_skill_tmb_tmb_king_unique_5_sacrament	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_tmb_tomb_king_grief_army_1	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_tmb_tomb_king_grief_army_2	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_tmb_tomb_king_grief_army_3	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_tmb_tomb_king_grief_army_4	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_tmb_tomb_king_grief_army_5	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_0	stephen_skill_tmb_tomb_king_grief_army_6	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_10	stephen_skill_tmb_tomb_king_grief_army_12	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_11	stephen_skill_tmb_tomb_king_grief_army_12	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_1	stephen_skill_tmb_tomb_king_grief_army_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_2	stephen_skill_tmb_tomb_king_grief_army_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_3	stephen_skill_tmb_tomb_king_grief_army_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_4	stephen_skill_tmb_tomb_king_grief_army_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_5	stephen_skill_tmb_tomb_king_grief_army_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_6	stephen_skill_tmb_tomb_king_grief_army_7	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_7	stephen_skill_tmb_tomb_king_grief_army_10	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_7	stephen_skill_tmb_tomb_king_grief_army_11	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_7	stephen_skill_tmb_tomb_king_grief_army_8	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_7	stephen_skill_tmb_tomb_king_grief_army_9	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_army_8	stephen_skill_tmb_tomb_king_grief_army_12	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_army_9	stephen_skill_tmb_tomb_king_grief_army_12	0	1	1	0.0	0.0	SUBSET_REQUIRED
stephen_skill_tmb_tomb_king_grief_campaign_0	stephen_skill_tmb_tomb_king_grief_campaign_1	0	1	1	0.0	0.0	REQUIRED
stephen_skill_tmb_tomb_king_grief_campaign_0	stephen_skill_tmb_tomb_king_grief_campaign_2	0	1	1	0.0	0.0	REQUIRED
