building	unit	xp	conditions	key	faction	enabled
#building_units_allowed_tables;4;db/building_units_allowed_tables/sda_tomb_kings						
wh2_main_special_galbaraz_mourkain_tmb_1	xereus_tmb_mon_crypt_horror	0	0	11889975		false
wh2_main_special_galbaraz_mourkain_tmb_1	xereus_tmb_mon_vargheist	0	0	11889976		false
arkhan_vmp_halls_dead_0	xereus_tmb_inf_cairn_wraith	0	0	11889982		false
arkhan_vmp_halls_dead_1	wh2_dlc09_tmb_cav_hexwraiths	0	0	11889983		false
arkhan_vmp_halls_dead_1	xereus_tmb_inf_cairn_wraith	0	0	11889984		false
arkhan_vmp_halls_dead_2	xereus_tmb_inf_cairn_wraith	0	0	11889985		false
arkhan_vmp_halls_dead_2	wh2_dlc09_tmb_cav_hexwraiths	0	0	11889986		false
arkhan_vmp_halls_dead_2	xereus_tmb_veh_mortis_engine	0	0	11889987		false
wh2_dlc15_special_morgheim_necropolis_tmb	xereus_tmb_mon_crypt_horror	0	0	11889997		false
wh2_dlc15_special_morgheim_necropolis_tmb	xereus_tmb_mon_vargheist	0	0	11889998		false
arkhan_vmp_fell_tree_1	xereus_tmb_mon_crypt_horror	0	0	11890005		false
arkhan_vmp_fell_tree_2	xereus_tmb_mon_crypt_horror	0	0	11890006		false
arkhan_vmp_fell_tree_2	xereus_tmb_mon_vargheist	0	0	11890007		false
arkhan_vmp_fell_tree_3	xereus_tmb_mon_crypt_horror	0	0	11890008		false
arkhan_vmp_fell_tree_3	xereus_tmb_mon_vargheist	0	0	11890009		false
arkhan_vmp_fell_tree_3	xereus_tmb_mon_terrorgheist	0	0	11890010		false
wh2_dlc14_special_nagashizzar_arkhan	xereus_tmb_inf_nagashizzar_guard	0	0	11890011		false
wh2_dlc09_tmb_arkhan_burial_mound_2	xereus_tmb_inf_tomb_guard	0	0	11890016		false
wh2_dlc09_tmb_arkhan_burial_mound_2	xereus_tmb_inf_tomb_guard_halberd	0	0	11890017		false
arkhan_vmp_great_necropolis_1	xereus_tmb_inf_skeleton_spearmen	0	0	11890025		false
arkhan_vmp_great_necropolis_1	xereus_tmb_inf_skeleton_warriors	0	0	11890026		false
arkhan_vmp_great_necropolis_1	xereus_tmb_inf_skeleton_archers	0	0	11890027		false
arkhan_vmp_great_necropolis_2	xereus_tmb_inf_skeleton_spearmen	0	0	11890028		false
arkhan_vmp_great_necropolis_2	xereus_tmb_inf_skeleton_warriors	0	0	11890029		false
arkhan_vmp_great_necropolis_2	xereus_tmb_inf_skeleton_archers	0	0	11890030		false
arkhan_vmp_great_necropolis_3	xereus_tmb_inf_skeleton_spearmen	0	0	11890031		false
arkhan_vmp_great_necropolis_3	xereus_tmb_inf_skeleton_warriors	0	0	11890032		false
arkhan_vmp_great_necropolis_3	xereus_tmb_inf_skeleton_archers	0	0	11890033		false
arkhan_vmp_great_necropolis_3	xereus_tmb_mon_zombie_dragon	0	0	11890034		false
wh2_dlc09_special_black_tower_of_arkhan	xereus_tmb_mon_zombie_dragon	0	0	11890036		false
wh2_dlc14_special_nagashizzar_arkhan	xereus_tmb_mon_zombie_dragon	0	0	11890037		false
arkhan_vmp_ushabti_1	xereus_tmb_mon_ushabti	0	0	11890038		false
arkhan_vmp_ushabti_2	xereus_tmb_mon_ushabti	0	0	11890039		false
arkhan_vmp_ushabti_2	xereus_tmb_mon_ushabti_great	0	0	11890040		false
wh2_dlc09_tmb_arkhan_burial_mound_2_REMOVED	wh2_dlc09_tmb_cav_hexwraiths	0	0	1200039110		false
arkhan_vmp_great_necropolis_2	xereus_tmb_art_screaming_skull_catapult	0	0	11890041		false
arkhan_vmp_great_necropolis_3	xereus_tmb_art_screaming_skull_catapult	0	0	11890042		false
