name	faction	unit	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/extra_tomb_king_lords				
stephen_tmb_cha_tomb_king		stephen_tmb_cha_tomb_king_1	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king		stephen_tmb_cha_tomb_king_2	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king		stephen_tmb_cha_tomb_king_3	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king		stephen_tmb_cha_tomb_king_4	arkhan_tmb_tomb_king_1	stephen_ch_tomb_king_campaign_01_0
steve_ark_tmb_cha_liche_priest_vampire		steve_ark_tmb_liche_priest_vampire	steve_ark_tmb_cha_liche_priest_vampire_1	tmb_cha_liche_priest_vampire_1
steve_ark_tmb_cha_liche_priest_vampire		steve_ark_tmb_liche_priest_vampire_1	steve_ark_tmb_cha_liche_priest_vampire_1	tmb_cha_liche_priest_vampire_1
stephen_tmb_cha_tomb_king_grief		stephen_tmb_cha_tomb_king_grief	arkhan_tmb_tomb_king_grief_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king_grief		stephen_tmb_cha_tomb_king_grief_horse	arkhan_tmb_tomb_king_grief_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king_grief		stephen_tmb_cha_tomb_king_grief_chariot	arkhan_tmb_tomb_king_grief_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king_grief		stephen_tmb_cha_tomb_king_grief_warsphinx	arkhan_tmb_tomb_king_grief_1	stephen_ch_tomb_king_campaign_01_0
stephen_tmb_cha_tomb_king_terror		stephen_tmb_cha_tomb_king_terror	arkhan_tmb_tomb_king_terror_1	stephen_ch_tomb_king_campaign_02_0
stephen_tmb_cha_tomb_king_terror		stephen_tmb_cha_tomb_king_terror_horse	arkhan_tmb_tomb_king_terror_1	stephen_ch_tomb_king_campaign_02_0
stephen_tmb_cha_tomb_king_terror		stephen_tmb_cha_tomb_king_terror_chariot	arkhan_tmb_tomb_king_terror_1	stephen_ch_tomb_king_campaign_02_0
stephen_tmb_cha_tomb_king_terror		stephen_tmb_cha_tomb_king_terror_warsphinx	arkhan_tmb_tomb_king_terror_1	stephen_ch_tomb_king_campaign_02_0
stephen_tmb_cha_tomb_king_madness		stephen_tmb_cha_tomb_king_madness	arkhan_tmb_tomb_king_madness_1	stephen_ch_tomb_king_campaign_03_0
stephen_tmb_cha_tomb_king_madness		stephen_tmb_cha_tomb_king_madness_horse	arkhan_tmb_tomb_king_madness_1	stephen_ch_tomb_king_campaign_03_0
stephen_tmb_cha_tomb_king_madness		stephen_tmb_cha_tomb_king_madness_chariot	arkhan_tmb_tomb_king_madness_1	stephen_ch_tomb_king_campaign_03_0
stephen_tmb_cha_tomb_king_madness		stephen_tmb_cha_tomb_king_madness_warsphinx	arkhan_tmb_tomb_king_madness_1	stephen_ch_tomb_king_campaign_03_0
stephen_tmb_cha_tomb_king_sacrament		stephen_tmb_cha_tomb_king_sacrament	arkhan_tmb_tomb_king_sacrament_1	stephen_ch_tomb_king_campaign_04_0
stephen_tmb_cha_tomb_king_sacrament		stephen_tmb_cha_tomb_king_sacrament_horse	arkhan_tmb_tomb_king_sacrament_1	stephen_ch_tomb_king_campaign_04_0
stephen_tmb_cha_tomb_king_sacrament		stephen_tmb_cha_tomb_king_sacrament_chariot	arkhan_tmb_tomb_king_sacrament_1	stephen_ch_tomb_king_campaign_04_0
stephen_tmb_cha_tomb_king_sacrament		stephen_tmb_cha_tomb_king_sacrament_warsphinx	arkhan_tmb_tomb_king_sacrament_1	stephen_ch_tomb_king_campaign_04_0
