land_units_additional_personalities_groups_junctions_tables	0
group	battle_personality
stephen_tmb_tomb_king_chariot_rider	stephen_tmb_tomb_king_chariot_rider
stephen_tmb_tomb_king_chariot_rider	wh2_dlc09_tmb_chariot_rider_0
stephen_tmb_tomb_king_grief_chariot_rider	stephen_tmb_tomb_king_grief_chariot_rider
stephen_tmb_tomb_king_grief_chariot_rider	wh2_dlc09_tmb_chariot_rider_0
stephen_tmb_tomb_king_terror_chariot_rider	stephen_tmb_tomb_king_terror_chariot_rider
stephen_tmb_tomb_king_terror_chariot_rider	wh2_dlc09_tmb_chariot_rider_0
stephen_tmb_tomb_king_madness_chariot_rider	stephen_tmb_tomb_king_madness_chariot_rider
stephen_tmb_tomb_king_madness_chariot_rider	wh2_dlc09_tmb_chariot_rider_0
stephen_tmb_tomb_king_sacrament_chariot_rider	stephen_tmb_tomb_king_sacrament_chariot_rider
stephen_tmb_tomb_king_sacrament_chariot_rider	wh2_dlc09_tmb_chariot_rider_0
