path_key	technology_key	priority
#campaign_ai_technology_path_junctions_tables	0	db/campaign_ai_technology_path_junctions_tables/arkhan_technology
followers_army_unlock_left	tech_arkhan_army_unlock_left	1
followers_army_unlock_left	tech_arkhan_nagash_monsters_1_1	1
followers_army_unlock_left	tech_arkhan_nagash_monsters_1_2	1
followers_army_unlock_left	tech_arkhan_nagash_monsters_1_3	1
followers_army_unlock_left	tech_arkhan_nagash_monsters_1_4	1
followers_army_unlock_right	tech_arkhan_army_unlock_right	1
followers_army_unlock_right	tech_arkhan_nagash_monsters_2_1	1
followers_army_unlock_right	tech_arkhan_nagash_monsters_2_2	1
followers_army_unlock_right	tech_arkhan_nagash_monsters_2_3	1
followers_army_unlock_right	tech_arkhan_nagash_monsters_2_4	1
followers_army_ability_1	tech_arkhan_nagash_army_ability_1	1
followers_army_ability_2	tech_arkhan_nagash_army_ability_2	1
followers_army_ability_3	tech_arkhan_nagash_army_ability_3	1
followers_rank_7_left	tech_arkhan_nagash_rank_7_defence	5
followers_rank_7_right	tech_arkhan_nagash_rank_7_attack	1
followers_lord_unlock_left	tech_arkhan_lord_top_left	1
followers_lord_unlock_left	tech_arkhan_lord_left_centre	1
followers_lord_unlock_left	tech_arkhan_lord_bottom_left	1
followers_lord_unlock_left	tech_arkhan_lord_extra_left_lord_unlock	1
followers_lord_unlock_right	tech_arkhan_lord_top_right	1
followers_lord_unlock_right	tech_arkhan_lord_bottom_right	1
followers_lord_unlock_right	tech_arkhan_lord_right_centre	1
followers_lord_unlock_right	tech_arkhan_lord_extra_right_lord_unlock	1
