key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	num_animals	animal	spacing	rank_depth	morale	bonus_hit_points	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	dismounted_melee_attack	dismounted_charge_bonus	strengths_&_weaknesses_text	supports_first_person	training_level	num_engines	officers	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	capture_power	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
#land_units_tables;44;db/land_units_tables/sda_tomb_kings																																																											
xereus_tmb_inf_zmb	inf_melee	inf_mel	wh_main_unit_short_text_vmp_zombies	wh_main_unit_long_text_vmp_zombies	2100	wh2_dlc11_infantry_zombie_blood	hu1_cst_zombie_dual_cutlass	0		0		wh2_main_inf_chaotic_formation_tight	10	30	59	wh_main_body_0	none		10	0	wh2_dlc09_tmb_sword_short	12	5	10	10	0	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	aquatic_small	10.0	0	0	0	0	0	0	melee	false	false	false	true
xereus_tmb_inf_zmb_summon	inf_melee	inf_mel	wh_main_unit_short_text_vmp_zombies	wh_main_unit_long_text_vmp_zombies	2100	wh_main_infantry_zombie_blood_dismembers	hu1_vampire_zombie_sword	0		0		wh2_main_inf_chaotic_formation_tight	10	30	55	wh_main_body_0	none		10	0	wh_main_vmp_sword_zombie	5	3	9	10	0	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	small	10.0	0	0	0	0	0	0	melee	false	false	false	true
xereus_tmb_inf_grave_guard	inf_melee	inf_mel	wh_main_unit_short_text_vmp_grave_guards	wh_main_unit_long_text_vmp_grave_guard	2100	wh_main_infantry_slow_dismembers	hu1_tomb_sword_and_shield	0		0		wh_main_infantry	6	50	74	wh2_main_plate_90	wh_missile_block_55_wood		10	0	wh_main_vmp_wightblade_grave_guard	26	8	36	35	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	small	10.0	0	0	0	0	0	0	melee	false	false	false	true
xereus_tmb_inf_grave_guard_great	inf_melee	inf_mel	wh_main_unit_short_text_vmp_grave_guards	wh_main_unit_long_text_vmp_grave_guard	2100	wh_main_infantry_slow_dismembers	hu1_graveguard_2handed_sword	0		0		wh_main_infantry_2handed	6	50	74	wh2_main_plate_90	none		10	0	wh_main_vmp_wightblade_grave_guard_great	26	12	26	35	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	small	10.0	0	0	0	0	0	0	melee	false	false	false	true
xereus_tmb_mon_terrorgheist	inf_melee	inf_mel	wh_main_unit_short_text_vmp_terrorgheist	wh_main_unit_long_text_vmp_terrorgheist	2100	wh_main_flying_terrorgheist_blood	bi2_terrorgheist	0		0		wh_main_monster	1	40	7536	wh2_main_bone_80	none		10	0	wh_main_vmp_terrorgheist	36	40	42	33	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	large	0.0	0	0	0	0	0	0	flying_melee_flanker	false	false	false	false
xereus_tmb_mon_vargheist	inf_melee	inf_mel	wh_main_unit_short_text_vmp_vargheists	wh_main_unit_long_text_vmp_vargheists	2100	wh_main_flying_vargheists_blood	hu8b_vargheist	0		0		wh_main_monstrous_infantry	3	62	387	wh2_main_body_10	none		10	0	wh_main_vmp_claws_vargheist	38	26	25	33	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	large	0.0	0	0	0	0	0	0	flying_melee_flanker	false	false	false	true
xereus_tmb_mon_mourngul	inf_melee	inf_mel	wh2_dlc11_unit_short_text_cst_mon_mournguls	wh2_dlc11_unit_long_text_cst_mon_mournguls	2100	wh2_dlc11_cst_cha_mourngul_blood	gh4_cst_mourngul	0		0		wh_main_monstrous_mourngul_infantry_chaotic	3	50	552	wh2_main_body_30	none		10	0	wh2_dlc11_cst_claws_mournguls	36	28	24	65	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh2_fear_guerrilla_stalk_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	0.8	large	10.0	0	0	0	0	30	0	melee_gatecrusher_shock	false	false	false	true
xereus_tmb_inf_zmb_halberd	inf_melee	inf_mel	wh2_dlc11_unit_short_text_cst_inf_zombie_deckhands_polearms	wh2_dlc11_unit_long_text_cst_inf_zombie_deckhands	2100	wh2_dlc11_infantry_zombie_blood	hu1_cst_zombie_halberd	0		0		wh2_main_inf_chaotic_formation_tight	10	30	59	wh_main_body_0	none		10	0	wh2_dlc09_tmb_spear	9	3	15	10	0	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_hideForest_undead_chargeReflectorVsL	60	80	0	false	vo_sel_zombiemob_deckhands	vo_sel_melee	vo_sel_culture	1.0	aquatic_small	10.0	0	0	0	0	0	0	melee	false	false	false	true
xereus_tmb_mon_crypt_horror	inf_melee	inf_mel	wh_main_unit_short_text_vmp_crypt_horrors	wh_main_unit_long_text_vmp_crypt_horrors	2100	wh_main_monster_crypt_horrors	hu8_crypt_horror_club	0		0		wh_main_monstrous_infantry	3	44	552	wh2_main_body_30	none		10	0	wh_main_claws_crypt_horrors	34	24	26	33	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	large	10.0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
